chr	start	end
1	55887	56120
1	423364	423900
1	423950	424367
1	549816	550725
1	639360	639745
1	639866	640438
1	640448	640817
1	759859	760365
1	781313	781662
1	791815	792206
1	888940	889289
1	1249840	1250185
1	1250582	1250943
1	1289002	1289375
1	1445285	1445761
1	1446173	1446688
1	1523087	1523492
1	1705655	1705984
1	1729012	1729299
1	1876273	1876602
1	3826066	3827452
1	4093674	4094012
1	4111446	4111705
1	4111870	4112562
1	5965781	5966704
1	6234340	6235097
1	6455097	6455771
1	6574647	6575074
1	6593412	6593639
1	6743202	6743466
1	7283363	7283869
1	7725658	7725828
1	8238972	8239412
1	8388874	8390298
1	8390354	8390878
1	8390965	8391276
1	8457470	8457637
1	8899283	8899886
1	9683393	9683722
1	9754627	9755272
1	9755493	9756467
1	10347901	10348548
1	10526482	10526705
1	18848667	18848928
1	19577467	19578334
1	19593105	19593504
1	19677147	19677361
1	19808368	19808653
1	20319814	20320403
1	20799301	20799934
1	20826865	20827212
1	20973745	20974078
1	20980193	20980399
1	21124945	21125329
1	21125858	21126109
1	21392658	21392887
1	21602902	21603315
1	21681835	21682058
1	21744380	21744856
1	21758766	21759393
1	22166783	22167212
1	22851165	22851544
1	23296346	23296945
1	23306933	23308297
1	23413166	23414635
1	23419746	23421005
1	23940178	23940601
1	24276437	24277342
1	25640522	25641031
1	25697151	25698270
1	25722899	25723326
1	25928458	25928739
1	26779591	26779818
1	28333024	28333455
1	28421057	28421530
1	28785526	28786248
1	28788900	28789343
1	28913109	28913342
1	29469390	29470028
1	29472332	29472749
1	29480949	29481384
1	29588751	29589630
1	29840872	29841389
